Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
" CCNL 2006 2009 per le lavoratrici ed i lavoratori delle singole strutture, parti della unitaria struttura associativa ANFFAS Onlus";"Testo definitivo";"Enti e Istituzioni Private";"ANFFAS ONLUS;CGIL FP;CISL FP;UIL FPL";"16/04/2009";"01/01/2006";"";"31/12/2009";"SANITA': Dipendenti ANFFAS"
"CCNL per i dipendenti di società di brokeraggio assicurativo, aziende e pmi che svolgono il ruolo di broker assicurativi e brokercoach e dipendenti da imprese del commercio, dei servizi e del terziario";"Testo definitivo";"Credito Assicurazioni";"COMPIE CONFEDERAZIONE PICCOLE E MEDIE IMPRESE EUROPEE;ASSOCIAZIONE BIC BROKER ITALIANI;ULE UNIONE LAVORATORI EUROPEI";"14/12/2011";"14/12/2011";"";"14/12/2014";"Broker Assicurativi e Brokercoach"
"Integrazione al CCNL per i dipendenti delle Cooperative esercenti servizi di pulizia, facchinaggio, igiene ambientale ed ausiliari nonché servizi integrativi e multiservizi ai vari settori merceologici in vigore dal 1/1/2014 al 31/12/2019 con l'istituzione dell'Ente Nazionale Bilaterale EBECOS";"Verbale Integrativo";"Aziende di Servizi";"CESID;USIPE;SEL";"16/12/2013";"";"";"";"PULIZIA: Imprese e Cooperative (CESID-USIPE-SEL)"
"CCNL per lavoratori dipendenti da aziende settore turismo e servizi turistici";"Testo definitivo";"Commercio";"CAPIMED;FENAILP;CUB;FENALCA";"09/11/2011";"01/07/2011";"";"31/12/2013";"TURISMO E SERVIZI TURISTICI"
"CCNL per i lavoratori dipendenti delle aziende e cooperative esercenti attività del settore MULTISERVIZI: COMMERCIO, TERZIARIO, SERVIZI, TRASPORTI E LOGISTICA, ARTIGIANATO";"Testo definitivo";"Altri Vari";"NORD INDUSTRIALE;CONFIMI;FASPI;FAL;CONFAEL;SNALP";"21/07/2016";"01/08/2016";"";"31/07/2019";"MULTISERVIZI, COMMERCIO, TERZIARIO, SERVIZI, TRASPORTI E LOGISTICA, ARTIGIANATO"
"Accordo negoziale in tema di trattamento economico per l'anno 2010 per il personale della carriera direttiva";"Economico 2° biennio";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"25/10/2010";"01/01/2010";"31/12/2010";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di accordo 30 maggio 2011 per il rinnovo del CCNL per i dipendenti delle aziende grafiche ed affini e delle aziende editoriali anche multimediali";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ASSOGRAFICI;ASSOCIAZIONE ITALIANA EDITORI;ASSOCIAZIONE NAZIONALE EDITORIA PERIODICA SPECIALIZZATA;UGL CARTA E STAMPA";"30/05/2011";"01/07/2011";"";"31/03/2013";"EDITORIA E GRAFICA: Industrie"
"CCNL per i dipendenti da istituti e imprese di vigilanza privata e servizi fiduciari";"Testo definitivo";"Commercio";"ASSIV;LEGACOOP SERVIZI;FEDERLAVORO E SERVIZI CONFCOOPERATIVE;AGCI SERVIZI;FILCAMS CGIL;FISASCAT CISL";"08/04/2013";"01/02/2013";"";"31/12/2015";"VIGILANZA"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;UILCA UIL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per i lavoratori dei porti delle cooperative del settore dei trasporti";"Testo definitivo";"Trasporti";"ALEA ITALIA;ADE ITALIA;ALEA ITALIA TRASPORTI;ADE ITALIA TRASPORTI";"02/09/2009";"02/09/2009";"";"31/08/2013";"PORTUALI: Lavoratori dei Porti Cooperative settore trasporti"
"Adesione di UGL COMUNICAZIONI in data 26/7/2011 all'Accordo breve sul CCNL GENERICI CINETV del 3/11/2009";"Verbale Integrativo";"Poligrafici e Spettacolo";"ANICA;APT;APP;SLC CGIL;FISTEL CISL;UILCOM UIL;UGL COMUNICAZIONI";"26/07/2011";"";"31/12/2011";"31/12/2013";"CINEMA: Generici Produzione A.V."
