Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"Verbale di accordo per il rinnovo del CCNL 15 marzo 2022 per i dipendenti dalle aziende esercenti la produzione del cemento, della calce e suoi derivati, del gesso e relativi manufatti, delle malte e dei materiali di base per le costruzioni, nonché la produzione promiscua di cemento, calce, gesso e malte";"Accordo di rinnovo";"Edilizia";"FEDERBETON; FENEAL UIL; FILCA CISL; FILLEA CGIL";"08/05/2025";"01/01/2025";"";"31/12/2027";"CEMENTO, CALCE, GESSO: Industrie"
"CCNL per i dipendenti degli Istituti di Patronato";"Testo definitivo";"Altri Vari";"CIU UNIONQUADRI; CONAPI; CONFIMPRESE ITALIA; FEDERAZIONE PROFESSIONISTI; AISOP; SILPA";"02/01/2025";"01/01/2025";"";"31/12/2027";"DIPENDENTI ISTITUTI DI PATRONATO"
"Verbale di accordo per il rinnovo biennale economico del CCNL per i dipendenti dalle organizzazioni degli allevatori, consorzi ed enti zootecnici del 14 novembre 2023";"Accordo economico";"Agricoltura";"ASSOCIAZIONE ITALIANA ALLEVATORI - AIA; FLAI CGIL; FAI CISL; UILA UIL; CONFEDERDIA";"12/12/2024";"01/01/2025";"";"31/12/2026";"ZOOTECNIA : Operai e Impiegati"
"Accordo di rinnovo del CCNL per i dipendenti da aziende esercenti attività del settore di Facility Management, Multiservizi, Pulizie dell'Artigianato, delle Piccole e Medie Imprese e della Cooperazione";"Accordo di rinnovo";"Aziende di Servizi";"FEDIMPRESE; CIU; SNAPEL";"24/06/2025";"24/06/2025";"";"24/06/2028";"FACILITY MANAGEMENT, MULTISERVIZI, PULIZIE: Artigianato, PMI e Coop"
"Verbale ipotesi d'accordo per il rinnovo del CCNL dipendenti delle agenzie marittime raccomandatarie e mediatori marittimi";"Accordo di rinnovo";"Trasporti";"FEDERAGENTI; FILT CGIL; FIT CISL; UILTRASPORTI";"13/09/2024";"01/09/2024";"";"31/12/2026";"AGENZIE MARITTIME E AEREE E MEDIATORI MARITTIMI"
"CCNL guardie ai fuochi per il triennio 2024-2026 per i dipendenti ed i soci delle società e/o cooperative di vigilanza antincendio";"Testo definitivo";"Trasporti";"ANGAF; FILT CGIL; FIT CISL; UILTRASPORTI";"18/10/2024";"01/01/2024";"";"31/12/2026";"VIGILANZA ANTINCENDIO (Societa'/Cooperative)"
"Ipotesi di Accordo per il rinnovo del CCNL 18 luglio 2022 per i lavoratori addetti al settore elettrico";"Accordo di rinnovo";"Aziende di Servizi";"ELETTRICITA' FUTURA; UTILITALIA; UGL CHIMICI";"11/02/2025";"01/01/2025";"";"31/12/2027";"ELETTRICI"
"Ipotesi di accordo di rinnovo del CCNL per gli addetti all'industria chimica, chimico-farmaceutica, delle fibre chimiche e dei settori abrasivi, lubrificanti e gpl";"Accordo di rinnovo";"Chimici";"FEDERCHIMICA; FARMINDUSTRIA; FILCTEM CGIL; FEMCA CISL; UILTEC UIL";"15/04/2025";"01/07/2025";"";"30/06/2028";"CHIMICO FARMACEUTICA e AFFINI: Industrie"
"Ipotesi di accordo di rinnovo del CCNL per gli addetti all'industria chimica, chimico-farmaceutica, delle fibre chimiche e dei settori abrasivi, lubrificanti e gpl";"Accordo di rinnovo";"Chimici";"FEDERCHIMICA; FARMINDUSTRIA; UGL CHIMICI; FAILC CONFAIL; FIALC CISAL";"15/04/2025";"01/07/2025";"";"30/06/2028";"CHIMICO FARMACEUTICA e AFFINI: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL per il personale dipendente da imprese esercenti l'attività funebre";"Accordo di rinnovo";"Trasporti";"FENIOF; CONFCOMMERCIO IMPRESE PER L'ITALIA; FILT CGIL; FIT CISL; UILTRASPORTI";"20/05/2025";"01/01/2025";"";"31/12/2028";"POMPE FUNEBRI: Agenzie Private"
"Ipotesi di intesa per il rinnovo del CCNL della dirigenza medica degli Ospedali classificati 2016-2018";"Accordo di rinnovo";"Enti e Istituzioni Private";"ARIS; ANMIRS";"11/06/2025";"01/01/2016";"";"31/12/2018";"Dirigenti Medici di Ospedali Classificati e IRCCS (ARIS)"
"CCNL Intersettoriale settore Terziario";"Testo definitivo";"Commercio";"UNSIC; FENAPI; ASSOLAV; UNIPA ITALIA; IMPRENDITORITALIA; AEPI; CNL; UAI; UAI UTCS; AMPI; CDO; CONFSAL; CONFSAL FEDERLAVORATORI";"10/07/2025";"01/07/2025";"";"30/06/2028";"INTERSETTORIALE Settore TERZIARIO"
"CCNL per il personale dipendente da imprese di pulizia e servizi integrati/multiservizi - testo coordinato con l'accordo integrativo del 28/01/2025";"Testo definitivo";"Aziende di Servizi";"UNILAVORO PMI; CONFSAL FISALS";"28/01/2025";"28/01/2025";"";"31/05/2026";"PULIZIA: Imprese di pulizia e servizi integrati/multiservizi (UNILAVORO PMI)"
"Accordo di adesione al CCNL per i lavoratori dipendenti delle aziende e cooperative esercenti attività di Multiservizi, Pulizie, Logistica, Trasporti e Spedizioni, Commercio, Terziario, Servizi, Turismo e Pubblici Esercizi";"Verbale integrativo";"Altri Vari";"CONFIMITALIA; CONFAEL NAZIONALE COMPARTO TERZIARIO; CONFAEL; SNALP; FAL; UNILAVORO PMI; CONFSAL FISALS";"02/07/2025";"02/07/2025";"";"31/05/2026";"MULTISERVIZI, PULIZIE, LOGISTICA, TRASPORTI E SPEDIZIONI, COMMERCIO, TERZIARIO, SERVIZI, TURISMO E PUBBLICI ESERCIZI"
"CCNL per i dipendenti delle imprese esercenti attività prevalente nel settore autotrasporto, spedizione merci, logistica e facchinaggio";"Testo definitivo";"Trasporti";"UNIMPRESA; UNIMPRESA INDUSTRIA; UNIAP; ASSIDAL; AIFECS; CONFAIL; CIU UNIONQUADRI";"01/07/2025";"01/07/2025";"";"30/06/2028";"AUTOTRASPORTO, SPEDIZIONE MERCI, LOGISTICA E FACCHINAGGIO (UNIMPRESA - CONFAIL)"
"CCNL per i dipendenti del Commercio moderno, Distribuzione e Servizi";"Testo definitivo";"Commercio";"UNIMPRESA; UNIMPRESA INDUSTRIA; UNIAP; ASSIDAL; AIFECS; CONFAIL; CIU UNIONQUADRI";"01/07/2025";"01/07/2025";"";"30/06/2028";"TERZIARIO, COMMERCIO, DISTRIBUZIONE E SERVIZI (UNIMPRESA - CONFAIL)"
"CCNL per i dipendenti dalle imprese artigiane dei servizi di pulizia, disinfezione, disinfestazione, derattizzazione e sanificazione";"Testo definitivo";"Aziende di Servizi";"VALITALIA PMI; CONFIMPRESEITALIA; AIFOS; ASSOESERCENTI; ITALPMI; UCI; UNCI; FESICA";"24/06/2025";"01/07/2025";"";"30/06/2028";"PULIZIA: Imprese Artigiane servizi di pulizia, disinfezione, disinfestazione, derattizzazione e sanificazione"
"CCNL per i lavoratori dipendenti del settore commercio e somministrazione su area pubblica";"Testo definitivo";"Commercio";"VALITALIA PMI; CONFIMPRESEITALIA; AIFOS; ASSOESERCENTI; ITALPMI; UCI; UNCI; FESICA";"24/06/2025";"24/06/2025";"";"23/06/2028";"COMMERCIO E SOMMINISTRAZIONE SU AREA PUBBLICA"
"Accordo di adesione della CONFAEL al CCNL per i dipendenti delle Aziende Artigiane dei settori tessile, abbigliamento, calzaturiero e pulitintolavanderie";"Verbale integrativo";"Tessili";"UNILAVORO PMI; UNIPEL; FILP; CONFSAL FISALS; CONFAEL";"02/07/2025";"02/07/2025";"";"30/11/2026";"TESSILE, ABBIGLIAMENTO, CALZATURIERO E PULITINTOLAVANDERIE: Aziende Artigiane (UNILAVORO PMI)"
"Accordo di adesione della CONFAEL al CCNL per i dipendenti dalle aziende del terziario, commercio, pubblici esercizi e turismo";"Verbale integrativo";"Commercio";"UNILAVORO PMI; CONFSAL FISALS; CONFAEL";"02/07/2025";"02/07/2025";"";"15/05/2029";"TERZIARIO, COMMERCIO, PUBBLICI ESERCIZI E TURISMO (UNILAVORO PMI)"
"CCNL Lavanderie e Tintorie - Industria, Artigianato";"Testo definitivo";"Tessili";"CONFLAVORO PMI; FESICA; CONFSAL";"04/07/2025";"01/07/2025";"";"30/06/2028";"Lavanderie e Tintorie - Industria, Artigianato (CONFLAVORO PMI - CONFSAL)"
"CCNL Alimentari industria: produzione e trasformazione di alimenti per l'uomo e gli animali";"Testo definitivo";"Alimentaristi - Agroindustriale";"CONFLAVORO PMI; FESICA; CONFSAL";"04/07/2025";"01/07/2025";"";"30/06/2028";"ALIMENTARISTI: Industrie (CONFLAVORO PMI)"
"CCNL per i dipendenti delle aziende, società ed enti pubblici economici aderenti a Federcasa 2022-2024";"Testo definitivo";"Enti e Istituzioni Private";"FEDERCASA; FP CGIL; FPS CISL; UIL FPL; FESICA CONFSAL";"06/11/2024";"01/01/2022";"";"31/12/2024";"FEDERCASA"
"Verbale di accordo di adesione all'accordo 8 maggio 2025 per il rinnovo del CCNL 15 marzo 2022 per i dipendenti dalle aziende esercenti la produzione del cemento, della calce e suoi derivati, del gesso e relativi manufatti, delle malte e dei materiali di base per le costruzioni, nonché la produzione promiscua di cemento, calce, gesso e malte";"Accordo di rinnovo";"Edilizia";"FEDERBETON; UGL COSTRUZIONI";"12/05/2025";"01/01/2025";"";"31/12/2027";"CEMENTO, CALCE, GESSO: Industrie"
"Accordo di rinnovo del CCNL per i dipendenti da Istituti e Imprese di vigilanza privata e servizi di sicurezza";"Accordo di rinnovo";"Commercio";"ASSICUREZZA CONFESERCENTI; FILCAMS CGIL; FISASCAT CISL; UILTUCS";"02/12/2024";"01/06/2023";"";"31/05/2026";"VIGILANZA PRIVATA E SERVIZI FIDUCIARI (ASSICUREZZA CONFESERCENTI)"
"CCNL per i lavoratori addetti al settore elettrico";"Testo definitivo";"Aziende di Servizi";"ELETTRICITA' FUTURA; UTILITALIA; ENEL SPA; GSE SPA; SOGIN SPA; TERNA SPA; ENERGIA LIBERA; FILCTEM CGIL; FLAEI CISL; UILTEC UIL; UIL";"11/02/2025";"01/01/2025";"";"31/12/2027";"ELETTRICI"
"CCNL Area Meccanica";"Testo definitivo";"Meccanici";"CONFARTIGIANATO Autoriparazione; CONFARTIGIANATO Metalmeccanica di Produzione; CONFARTIGIANATO Impianti; CONFARTIGIANATO Orafi; CONFARTIGIANATO Odontotecnici; CONFARTIGIANATO Restauro; CNA Produzione; CNA Installazione e Impianti; CNA Servizi alla comunità/Autoriparatori; CNA Artistico e tradizionale; CNA Benessere e Sanità SNO; CASARTIGIANI; CLAAI; FIOM CGIL; CGIL; FIM CISL; CISL; UILM UIL; UIL";"19/11/2024";"01/01/2023";"";"31/12/2026";"MECCANICA, ORAFI ARGENTIERI, ODONTOTECNICI: artigiani"
"Accordo per il rinnovo del CCNL per i dipendenti delle aziende di lavorazione della foglia di tabacco secco allo stato sciolto 2025-2028";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"APTI; FAI CISL; FLAI CGIL; UILA UIL";"02/07/2025";"01/01/2025";"";"31/12/2028";"TABACCO: (Lavorazione del)"
"CCNL per i quadri direttivi e per il personale delle aree professionali dipendenti dalle imprese creditizie, finanziarie e strumentali";"Testo definitivo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN";"14/07/2025";"23/11/2023";"";"31/03/2026";"BANCARI: ABI (Quadri direttivi e aree professionali)"
"Accordo di rinnovo del CCNL per i dirigenti dipendenti dalle imprese creditizie, finanziarie e strumentali del 13 luglio 2015";"Accordo di rinnovo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN";"15/07/2025";"15/07/2025";"";"31/07/2028";"BANCARI: ABI (Dirigenti)"
"Verbale di adeguamento contrattuale della parte economica del CCNL per gli addetti delle micro, piccole e medie imprese operanti nel settore Turismo e attività affini del 22 febbraio 2016";"Accordo economico";"Commercio";"FOR ITALY; UGL TERZIARIO";"31/03/2024";"01/11/2024";"";"";"TURISMO E AFFINI: micro, piccole e medie imprese (FOR.ITALY)"
"CCNL Settore SPORT - Area dilettantistica";"Testo definitivo";"Commercio";"FISAPI; FEDIMI; USFAB; ASSOLAV SPORT; FISALP CONFSAL; CONFSAL";"02/07/2025";"01/07/2025";"";"30/06/2028";"SETTORE SPORT - Area dilettantistica"
"CCNL del settore logistica, trasporto merci e spedizione";"Testo definitivo";"Trasporti";"ANAP; SELP; SLE; SIFUS";"25/07/2025";"01/08/2025";"";"30/07/2028";"LOGISTICA, TRASPORTO MERCI E SPEDIZIONE (ANAP)"
"Accordo di rinnovo del CCNL per i dipendenti di Centri Elaborazione Dati (CED), imprese ICT, professioni digitali e STP";"Accordo di rinnovo";"Commercio";"ASSOCED; LAIT; CONFTERZIARIO; UGL TERZIARIO; UGL";"28/07/2025";"01/09/2025";"";"31/08/2028";"CENTRI DI ELABORAZIONE DATI"
"CCNL per le scuole Globeducate in Italia";"Testo definitivo";"Enti e Istituzioni Private";"SEG SPA; FLC CGIL; CISL SCUOLA";"23/06/2025";"01/09/2025";"";"31/08/2029";"SCUOLE GLOBEDUCATE IN ITALIA"
"Verbale di adesione al CCNL dipendenti farmacie private";"Verbale integrativo";"Commercio";"FEDERFARMA; UGL TERZIARIO";"17/06/2025";"";"";"";"FARMACIE PRIVATE"
"CCNL della Mobilità / Area contrattuale Attività Ferroviarie del 22 maggio 2025 di rinnovo del CCNL Mobilità/Area AF del 22 marzo 2022";"Accordo di rinnovo";"Trasporti";"AGENS; ANCP; CONFCOOPERATIVE LAVORO E SERVIZI; LEGACOOP PRODUZIONE E SERVIZI; FILT CGIL; FIT CISL; UILTRASPORTI; UGL FERROVIERI; FAST CONFSAL; ORSA FERROVIE";"22/05/2025";"01/01/2024";"";"31/12/2026";"FERROVIE: Attivita' ferroviarie"
"CCNL per il personale dirigente SIAE 2024/2025";"Testo definitivo";"Poligrafici e Spettacolo";"SIAE; SNAD SIAE";"08/07/2025";"01/01/2024";"";"31/12/2025";"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI): Dirigenti"
"CCNL PMI manifatturiere e facility management";"Testo definitivo";"Altri Vari";"ANCORS; CIU UNIONQUADRI";"29/07/2025";"25/08/2025";"";"31/12/2029";"PMI MANIFATTURIERE E FACILITY MANAGEMENT"
"CCNL per i dipendenti da imprese edili ed affini";"Testo definitivo";"Edilizia";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"EDILI: imprese edili ed affini (CONFIMITALIA)"
"CCNL per addetti all'industria metalmeccanica privata e alla installazione impianti";"Testo definitivo";"Meccanici";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"METALMECCANICO: Settore Industria (CONFIMITALIA)"
"CCNL settore Mobilità";"Testo definitivo";"Trasporti";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"MOBILITA' (CONFIMITALIA)"
"Accordo Collettivo Nazionale di lavoro degli Operatori telefonici - in modalità outbound - dei Call Center in outsourcing";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"OPERATORI TELEFONICI DEI CALL CENTER IN OUTSOURCING"
"CCNL per il personale dipendente delle strutture sanitarie, rsa e delle altre strutture residenziali e socio-assistenziali";"Testo definitivo";"Enti e Istituzioni Private";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI; CONFEPI SANITA'";"01/07/2025";"01/08/2025";"";"30/06/2028";"STRUTTURE SANITARIE, RSA E ALTRE STRUTTURE RESIDENZIALI E SOCIO-ASSISTENZIALI"
"CCNL per gli Operatori Agricoli e Florovivaisti";"Testo definitivo";"Agricoltura";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"AGRICOLTURA: Operatori Agricoli e Florovivaisti"
"CCNL per i dipendenti delle Aziende, Società ed Enti Pubblici Economici aderenti a CONFAEL";"Testo definitivo";"Enti e Istituzioni Private";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"CONFAEL"
"CCNL per i lavoratori delle aziende dei servizi di distribuzione e vendita del gas e del ciclo idrico integrale (c.d. settore Gas e Acqua)";"Testo definitivo";"Aziende di Servizi";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"GAS e ACQUA (CONFIMITALIA)"
"CCNL per i lavoratori operanti nei settori della Acconciatura, della Estetica, della Tricologia non curativa, del Tatuaggio, del Piercing, dei Centri Benessere e della Toelettatura degli animali";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"Acconciatura, Estetica, Tricologia non curativa, Tatuaggio, Piercing, Centri Benessere e Toelettatura animali (CONFIMITALIA)"
"CCNL per gli ormeggiatori e barcaioli dei porti italiani";"Testo definitivo";"Trasporti";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"MARITTIMI: Ormeggiatori e Barcaioli dei Porti Italiani (CONFIMITALIA)"
"CCNL per il settore Doppiaggio";"Testo definitivo";"Poligrafici e Spettacolo";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"DOPPIAGGIO (CONFIMITALIA)"
"CCNL per il personale artistico, tecnico e amministrativo scritturato dai teatri nazionali, dai teatri di rilevante interesse culturale, dai centri di produzione e dalle compagnie teatrali professionali, e regolamento di palcoscenico";"Testo definitivo";"Poligrafici e Spettacolo";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"TEATRI, CENTRI DI PRODUZIONE E COMPAGNIE TEATRALI"
"CCNL per la disciplina dell'attività di consegna di beni per conto terzi, svolta da lavoratori autonomi, c.d. Rider";"Testo definitivo";"Altri Vari";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"RIDER (CONFIMITALIA)"
"CCNL Vigilanza Privata e Servizi Fiduciari";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"VIGILANZA PRIVATA E SERVIZI FIDUCIARI (CONFIMITALIA)"
"CCNL sulla disciplina del rapporto di lavoro domestico";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI; CONFIMITALIA Colf e Badanti";"01/07/2025";"01/08/2025";"";"30/06/2028";"LAVORO DOMESTICO (CONFIMITALIA)"
"CCNL per i dipendenti degli studi professionali";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"Studi Professionali (CONFIMITALIA)"
"CCNL per i lavoratori della piccola media industria dei settori chimica, concia e settori accorpati, plastica e gomma, abrasivi, ceramica e vetro";"Testo definitivo";"Chimici";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"CHIMICA: PMI (CONFIMITALIA)"
"CCNL settore Igiene Ambientale delle Aziende Private";"Testo definitivo";"Aziende di Servizi";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"PULIZIA: Igiene Ambientale delle Aziende Private (CONFIMITALIA)"
"CCNL per gli Studi Professionali, Centri elaborazione dati, Consulenti Tributari e Tributaristi";"Testo definitivo";"Commercio";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"Studi Professionali, Centri Elaborazione Dati, Consulenti Tributari e Tributaristi (CONFIMITALIA)"
"CCNL per i lavoratori del settore Trasporto e spedizione merci (artigianato)";"Testo definitivo";"Trasporti";"CONFIMITALIA (aderente CIU); SNALP (aderente CIU); CONFAEL; CONFEPI";"01/07/2025";"01/08/2025";"";"30/06/2028";"TRASPORTO E SPEDIZIONE MERCI (NELL'ARTIGIANATO)"
"CCNL per il personale impiegatizio e quadro dell'AGENZIA DEL DEMANIO ENTE PUBBLICO ECONOMICO";"Testo definitivo";"Enti e Istituzioni Private";"AGENZIA DEL DEMANIO; CISL FP; UIL PA; CONFSAL UNSA; CSE FLP";"29/07/2025";"01/01/2022";"";"31/12/2024";"AGENZIA DEL DEMANIO"
"CCNL per i lavoratori delle imprese, anche cooperative, esercenti attività nel settore "Autotrasporto, Spedizione e movimentazione Merci, Logistica ed Affini svolte, anche in somministrazione, per conto terzi su strada, via aerea e marittima"";"Testo definitivo";"Trasporti";"UNSIC; UNSICOOP; CONFIAL";"22/04/2025";"01/05/2025";"";"30/04/2028";"AUTOTRASPORTO, SPEDIZIONE E MOVIMENTAZIONE MERCI, LOGISTICA ED AFFINI"
"Addendum al CCNL per i dipendenti delle Piccole e Medie Imprese Edili artigiane Industriali e Affini";"Verbale integrativo";"Edilizia";"CONFIMPRENDITORI; FISMIC CONFSAL";"06/08/2025";"01/06/2025";"";"31/05/2028";"EDILI: PMI artigiane industriali e affini (CONFIMPRENDITORI - FISMIC CONFSAL)"
"CCNL dei Servizi Ambientali";"Testo definitivo";"Aziende di Servizi";"UTILITALIA; CONFINDUSTRIA CISAMBIENTE; LEGACOOP PRODUZIONE E SERVIZI; CONFCOOPERATIVE LAVORO E SERVIZI; AGCI SERVIZI; ASSOAMBIENTE; FP CGIL; FIT CISL; UILTRASPORTI UIL; FIADEL";"18/05/2022";"01/01/2022";"";"31/12/2024";"SERVIZI AMBIENTALI"
"Protocollo modificativo al CCNL per i soci ed i dipendenti delle cooperative pesca ed acquacoltura e loro consorzi";"Verbale integrativo";"Alimentaristi - Agroindustriale";"UNCI; UNCI AGROALIMENTARE; FESICA CONFSAL; CONFSAL PESCA";"01/08/2025";"01/08/2025";"";"";"PESCA: Cooperative (UNCI-CONFSAL)"
"Accordo integrativo al CCNL dei settori Commercio, Terziario, Distribuzione e Servizi";"Verbale integrativo";"Commercio";"ADLI; FITESC; CIU UNIONQUADRI";"01/09/2025";"";"";"";"COMMERCIO, TERZIARIO, DISTRIBUZIONE E SERVIZI (ADLI)"
"Accordo integrativo al CCNL per gli addetti all'industria Metalmeccanica privata e alla installazione impianti";"Verbale integrativo";"Meccanici";"ADLI; FITESC; CIU UNIONQUADRI";"01/09/2025";"";"";"";"METALMECCANICA: Industria (ADLI)"
"CCNL per le aziende dell'autotrasporto, spedizione merci, logistica e facchinaggio";"Testo definitivo";"Trasporti";"FMPI; CONFINTESA";"12/09/2025";"12/09/2025";"";"31/12/2027";"AUTOTRASPORTO, SPEDIZIONE MERCI, LOGISTICA E FACCHINAGGIO (FMPI)"
"CCNL Collaboratori Familiari";"Testo definitivo";"Commercio";"ASDATCOLF; SILPA; SIDU; ASSO AILI; AISOP";"08/01/2025";"01/01/2025";"";"31/12/2030";"COLLABORATORI FAMILIARI"
"CCNL per i dipendenti dei Laboratori di Analisi Cliniche e dei Centri Poliambulatoriali";"Testo definitivo";"Enti e Istituzioni Private";"UNILAVORO PMI; FEDERLAB; CONFSAL FISALS";"14/11/2025";"01/11/2025";"";"31/10/2030";"LABORATORI DI ANALISI CLINICHE E CENTRI POLIAMBULATORIALI (UNILAVORO PMI)"
"Accordo integrativo al CCNL per i dipendenti del settore "Metalmeccanica - Industria - Installazione impianti"";"Verbale integrativo";"Meccanici";"CONAPI; CONFINTESA";"24/09/2025";"";"";"";"METALMECCANICA - INDUSTRIA - INSTALLAZIONE IMPIANTI"
"CCNL per addetti delle aziende e delle cooperative agricole, agrituristiche e florovivaiste";"Testo definitivo";"Agricoltura";"UIPA; UNIDAT; SEAL; CIU UNIONQUADRI; FEDAL";"24/09/2025";"01/06/2025";"";"31/05/2028";"AZIENDE E COOPERATIVE AGRICOLE, AGRITURISTICHE E FLOROVIVAISTE (UIPA)"
"CCNL per i dipendenti degli Istituti per il sostentamento del Clero";"Testo definitivo";"Altri Vari";"Istituto Centrale per il sostentamento del Clero; CONFCOMMERCIO; UGL Terziario";"14/01/2025";"01/01/2025";"";"31/12/2027";"ISTITUTI PER IL SOSTENTAMENTO DEL CLERO"
"CCNL per i dipendenti degli Istituti per il sostentamento del Clero";"Testo definitivo";"Altri Vari";"Istituto Centrale per il sostentamento del Clero; CONFCOMMERCIO; FISASCAT CISL; FILCAMS CGIL; UILTUCS";"14/01/2025";"01/01/2025";"";"31/12/2027";"ISTITUTI PER IL SOSTENTAMENTO DEL CLERO"
"CCNL logistica, trasporto merci e spedizione";"Testo definitivo";"Trasporti";"AITI; ASSOESPRESSI; ASSOLOGISTICA; FEDESPEDI; FEDIT; FISI; TRASPORTOUNITO FIAP; CONFETRA; ANITA; ASSOTIR; FAI; FEDERLOGISTICA; UNITAI; CONFTRASPORTO; CNA FITA; CONFARTIGIANATO TRASPORTI; CASARTIGIANI; CLAAI; CONFCOOPERATIVE LAVORO E SERVIZI; LEGACOOP PRODUZIONE E SERVIZI; AGCI SERVIZI; FEDERTRASLOCHI; FIAP; AITE; FILT CGIL; FIT CISL; UILTRASPORTI UIL";"25/09/2025";"06/12/2024";"";"31/12/2027";"LOGISTICA, TRASPORTO MERCI E SPEDIZIONE"
"CCNL sulla disciplina del rapporto di lavoro domestico";"Testo definitivo";"Commercio";"UIDD; UNIDAT; CIU; SEAL; FEDAL";"24/09/2025";"01/06/2025";"";"31/05/2028";"LAVORO DOMESTICO (UIDD)"
"CCNL per la distribuzione delle merci, servizi postali privati ed il delivery dell'ultimo miglio";"Testo definitivo";"Trasporti";"CONFIMPRENDITORI; ASSOPOSTALE; CIU UNIONQUADRI; FILCOM FISMIC CONFSAL";"17/09/2025";"17/09/2025";"";"16/09/2028";"DISTRIBUZIONE MERCI, LOGISTICA E SERVIZI VERSO LA P.A. E IL CITTADINO"
"Disciplina contrattuale nazionale di lavoro per i dipendenti del settore educazione, istruzione, formazione professionale, formazione, lavoro e certificazione - parte speciale CCNL istruzione  e formazione professionale";"Verbale integrativo";"Enti e Istituzioni Private";"FEDERTERZIARIO SCUOLA; FEDERTERZIARIO; UGL SCUOLA";"30/09/2025";"01/10/2025";"";"31/08/2026";"SCUOLE NON STATALI, ENTI DI FORMAZIONE, SCUOLE DI PREPARAZIONE, SCUOLE DELL'INFANZIA, ASILI NIDO"
"CCNL per i lavoratori dipendenti delle Organizzazioni Sindacali Nazionali e Territoriali, di rappresentanza e di categoria delle Associazioni anche di settore e degli Enti loro partecipati, promossi e collegati";"Testo definitivo";"Altri Vari";"CONFEURO; ANDI ITALIA; EUROCOLTIVATORI; CIU UNIONQUADRI; SINDACATO GENERALE DEL LAVORO; UNILAI";"04/08/2025";"01/07/2025";"";"30/06/2028";"DIPENDENTI ORGANIZZAZIONI SINDACALI (CONFEURO)"
"Accordo integrativo per l'istituzione della 14° mensilità al CCNL Enti di Formazione";"Verbale integrativo";"Enti e Istituzioni Private";"UNIMPRESA; UNIMPRESA Professioni; UNIAP; ASSIDAL; CONFAIL; CIU UNIONQUADRI";"01/10/2025";"01/01/2026";"";"";"ENTI DI FORMAZIONE"
