type|code|description|section
CLASS|69.10.1|Attività legali e giuridiche|N
CLASS|69.10.10|Attività legali e giuridiche|N
CLASS|69.10.2|Attività notarili|N
CLASS|69.10.20|Attività notarili|N
CLASS|69.10.3|Attività di supporto alle attività legali| giuridiche e notarili|N
CLASS|69.10.30|Attività di supporto alle attività legali| giuridiche e notarili|N
GROUP|69.2|Attività di contabilità| controllo e revisione contabile; consulenza fiscale|N
GROUP|69.20|Attività di contabilità| controllo e revisione contabile; consulenza fiscale|N
CLASS|69.20.0|Attività di contabilità| controllo e revisione contabile; consulenza fiscale|N
CLASS|69.20.01|Attività di commercialisti|N
CLASS|69.20.02|Attività di revisori legali in ambito contabile|N
CLASS|69.20.03|Attività di esperti contabili|N
CLASS|69.20.04|Attività di consulenti del lavoro|N
CLASS|69.20.05|Attività di altri soggetti simili in materia di contabilità delle retribuzioni e buste paga|N
CLASS|69.20.06|Attività di altri consulenti| periti e altri soggetti simili in ambito tributario e contabile|N
CLASS|69.20.07|Attività di centri di assistenza fiscale|N
DIVISION|70|Attività di sedi centrali e consulenza gestionale|N
GROUP|70.1|Attività di sedi centrali|N
GROUP|70.10|Attività di sedi centrali|N
CLASS|70.10.0|Attività di sedi centrali|N
CLASS|70.10.00|Attività di sedi centrali|N
GROUP|70.2|Consulenza imprenditoriale e altre attività di consulenza gestionale|N
GROUP|70.20|Consulenza imprenditoriale e altre attività di consulenza gestionale|N
CLASS|70.20.0|Consulenza imprenditoriale e altre attività di consulenza gestionale|N
CLASS|70.20.01|Attività di consulenza in materia di logistica|N
CLASS|70.20.02|Attività di certificazione di processi|N
CLASS|70.20.09|Consulenza imprenditoriale e altre attività di consulenza gestionale n.c.a.|N
DIVISION|71|Attività di architettura e ingegneria; collaudi e analisi tecniche|N
GROUP|71.1|Attività di architettura| di ingegneria e altre consulenze tecniche connesse|N
GROUP|71.11|Attività di architettura|N
CLASS|71.11.0|Attività di architettura|N
CLASS|71.11.01|Progettazione| pianificazione e supervisione di scavi archeologici|N
CLASS|71.11.09|Attività di architettura n.c.a.|N
GROUP|71.12|Attività di ingegneria e altre consulenze tecniche connesse|N
CLASS|71.12.1|Attività di ingegneria|N
CLASS|71.12.10|Attività di ingegneria|N
CLASS|71.12.2|Gestione di progetti relativi a opere di ingegneria integrata|N
CLASS|71.12.20|Gestione di progetti relativi a opere di ingegneria integrata|N
CLASS|71.12.3|Elaborazione e supervisione di progetti da parte di geometri|N
CLASS|71.12.30|Elaborazione e supervisione di progetti da parte di geometri|N
CLASS|71.12.4|Attività di cartografia e aerofotogrammetria|N
CLASS|71.12.40|Attività di cartografia e aerofotogrammetria|N
CLASS|71.12.5|Attività di geologia| di prospezione geognostica e mineraria|N
CLASS|71.12.50|Attività di geologia| di prospezione geognostica e mineraria|N
GROUP|71.2|Collaudi e analisi tecniche|N
GROUP|71.20|Collaudi e analisi tecniche|N
CLASS|71.20.1|Collaudi e analisi tecniche di prodotti|N
CLASS|71.20.11|Collaudi e analisi tecniche per indagini archeologiche|N
CLASS|71.20.19|Altri collaudi e analisi tecniche di prodotti|N
CLASS|71.20.2|Attività di controllo di qualità e certificazione di prodotti|N
CLASS|71.20.21|Attività di riconoscimento dell'origine dei prodotti|N
CLASS|71.20.22|Revisione periodica a norma di legge dell'idoneità alla circolazione di autoveicoli e motocicli|N
CLASS|71.20.29|Altre attività di controllo di qualità e certificazione di prodotti|N
DIVISION|72|Ricerca scientifica e sviluppo|N
GROUP|72.1|Ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria|N
GROUP|72.10|Ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria|N
CLASS|72.10.1|Ricerca e sviluppo sperimentale nel campo delle biotecnologie|N
CLASS|72.10.10|Ricerca e sviluppo sperimentale nel campo delle biotecnologie|N
CLASS|72.10.2|Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria|N
CLASS|72.10.21|Ricerca e sviluppo sperimentale nel campo della geologia|N
CLASS|72.10.22|Ricerca e sviluppo sperimentale nel campo della diagnostica per la conservazione dei beni culturali|N
CLASS|72.10.29|Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria n.c.a.|N
GROUP|72.2|Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche|N
GROUP|72.20|Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche|N
CLASS|72.20.0|Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche|N
CLASS|72.20.01|Ricerca e sviluppo sperimentale nel campo dell'archeologia|N
CLASS|72.20.09|Ricerca e sviluppo sperimentale nel campo delle altre scienze sociali e umanistiche|N
DIVISION|73|Attività di pubblicità| ricerche di mercato e pubbliche relazioni|N
GROUP|73.1|Pubblicità|N
GROUP|73.11|Attività di agenzie pubblicitarie|N
CLASS|73.11.0|Attività di agenzie pubblicitarie|N
CLASS|73.11.01|Ideazione di campagne pubblicitarie|N
CLASS|73.11.02|Conduzione di campagne di marketing e altri servizi pubblicitari|N
CLASS|73.11.03|Attività di influencer marketing|N
GROUP|73.12|Attività di concessionarie pubblicitarie|N
CLASS|73.12.0|Attività di concessionarie pubblicitarie|N
CLASS|73.12.00|Attività di concessionarie pubblicitarie|N
GROUP|73.2|Ricerche di mercato e sondaggi di opinione|N
GROUP|73.20|Ricerche di mercato e sondaggi di opinione|N
CLASS|73.20.0|Ricerche di mercato e sondaggi di opinione|N
CLASS|73.20.00|Ricerche di mercato e sondaggi di opinione|N
GROUP|73.3|Pubbliche relazioni e comunicazione|N
GROUP|73.30|Pubbliche relazioni e comunicazione|N
CLASS|73.30.0|Pubbliche relazioni e comunicazione|N
CLASS|73.30.01|Attività di rappresentanza di interessi|N
CLASS|73.30.02|Attività di informazione scientifica inerente prodotti farmaceutici e articoli medicali per scopi promozionali|N
CLASS|73.30.03|Attività di promozione di altri prodotti|N
CLASS|73.30.09|Pubbliche relazioni e comunicazione n.c.a.|N
DIVISION|74|Altre attività professionali| scientifiche e tecniche|N
GROUP|74.1|Attività di progettazione specializzata|N
GROUP|74.11|Attività di progettazione di prodotti industriali e di moda|N
CLASS|74.11.1|Attività di progettazione di prodotti industriali|N
CLASS|74.11.10|Attività di progettazione di prodotti industriali|N
CLASS|74.11.2|Attività di progettazione di moda|N
CLASS|74.11.20|Attività di progettazione di moda|N
GROUP|74.12|Attività di progettazione grafica e di comunicazione visiva|N
CLASS|74.12.0|Attività di progettazione grafica e di comunicazione visiva|N
CLASS|74.12.01|Grafica di pagine web|N
CLASS|74.12.09|Altre attività di progettazione grafica e di comunicazione visiva|N
GROUP|74.13|Attività di progettazione di interni|N
CLASS|74.13.0|Attività di progettazione di interni|N
CLASS|74.13.00|Attività di progettazione di interni|N
GROUP|74.14|Altre attività di progettazione specializzata|N
CLASS|74.14.0|Altre attività di progettazione specializzata|N
CLASS|74.14.01|Attività di progettazione specializzata fornite da disegnatori tecnici|N
CLASS|74.14.09|Altre attività di progettazione specializzata n.c.a.|N
GROUP|74.2|Attività fotografiche|N
GROUP|74.20|Attività fotografiche|N
CLASS|74.20.1|Attività fotografiche specializzate|N
CLASS|74.20.11|Attività fotografiche fornite da fotoreporter|N
CLASS|74.20.12|Attività fotografiche aeree e subacquee|N
CLASS|74.20.19|Altre attività fotografiche specializzate|N
CLASS|74.20.2|Attività di sviluppo e stampa e altre attività fotografiche|N
CLASS|74.20.20|Attività di sviluppo e stampa e altre attività fotografiche|N
GROUP|74.3|Attività di traduzione e interpretariato|N
GROUP|74.30|Attività di traduzione e interpretariato|N
CLASS|74.30.0|Attività di traduzione e interpretariato|N
CLASS|74.30.00|Attività di traduzione e interpretariato|N
GROUP|74.9|Altre attività professionali| scientifiche e tecniche n.c.a.|N
GROUP|74.91|Attività di servizi di intermediazione e marketing di brevetti|N
CLASS|74.91.0|Attività di servizi di intermediazione e marketing di brevetti|N
CLASS|74.91.00|Attività di servizi di intermediazione e marketing di brevetti|N
GROUP|74.99|Tutte le altre attività professionali| scientifiche e tecniche n.c.a.|N
CLASS|74.99.1|Attività di consulenza agraria|N
CLASS|74.99.11|Attività di consulenza agraria fornite da agronomi|N
CLASS|74.99.12|Attività di consulenza agraria fornite da agrotecnici|N
CLASS|74.99.13|Attività di consulenza agraria fornite da periti agrari|N
CLASS|74.99.14|Attività di consulenza agraria fornite da altri economisti specializzati in agricoltura|N
CLASS|74.99.15|Attività di consulenza agraria viticolo enologica fornite da enologi|N
CLASS|74.99.16|Attività di consulenza agraria viticolo enologica fornite da enotecnici|N
CLASS|74.99.19|Altre attività di consulenza agraria n.c.a.|N
CLASS|74.99.2|Attività di consulenza in materia di sicurezza|N
CLASS|74.99.21|Attività di consulenza in materia di sicurezza e salute dei posti di lavoro|N
CLASS|74.99.29|Altre attività di consulenza in materia di sicurezza|N
CLASS|74.99.3|Attività di consulenza ambientale e di risparmio energetico|N
CLASS|74.99.31|Attività di consulenza in materia di prevenzione e riduzione dell'inquinamento e di gestione dei rifiuti|N
CLASS|74.99.32|Attività di consulenza in materia di gestione delle risorse energetiche| energie rinnovabili ed efficienza|N
CLASS|74.99.33|Attività di consulenza in materia di gestione delle risorse idriche| minerali e altre risorse naturali per usi|N
CLASS|74.99.4|Attività di consulenza in enogastronomia|N
CLASS|74.99.41|Attività di consulenza fornite da enotecari e sommelier|N
CLASS|74.99.42|Attività di consulenza in gastronomia|N
CLASS|74.99.9|Altre attività varie professionali| scientifiche e tecniche n.c.a.|N
CLASS|74.99.91|Attività tecniche svolte da periti industriali|N
CLASS|74.99.92|Attività di previsione meteorologica|N
CLASS|74.99.93|Attività di agenzie| agenti e procuratori per lo spettacolo e lo sport|N
CLASS|74.99.94|Attività di consulenza tecnica in ambito grafologico|N
CLASS|74.99.99|Tutte le altre attività varie professionali| scientifiche e tecniche n.c.a.|N
DIVISION|75|Servizi veterinari|N
GROUP|75.0|Servizi veterinari|N
GROUP|75.00|Servizi veterinari|N
CLASS|75.00.0|Servizi veterinari|N
CLASS|75.00.00|Servizi veterinari|N
SECTION|O|ATTIVITÀ AMMINISTRATIVE E DI SERVIZI DI SUPPORTO
DIVISION|77|Attività di noleggio e leasing operativo|O
GROUP|77.1|Noleggio e leasing operativo di autoveicoli|O
GROUP|77.11|Noleggio e leasing operativo di automobili e autoveicoli leggeri|O
CLASS|77.11.0|Noleggio e leasing operativo di automobili e autoveicoli leggeri|O
CLASS|77.11.00|Noleggio e leasing operativo di automobili e autoveicoli leggeri|O
GROUP|77.12|Noleggio e leasing operativo di autocarri|O
CLASS|77.12.0|Noleggio e leasing operativo di autocarri|O
CLASS|77.12.00|Noleggio e leasing operativo di autocarri|O
GROUP|77.2|Noleggio e leasing operativo di beni per uso personale e per la casa|O
GROUP|77.21|Noleggio e leasing operativo di attrezzature e articoli sportivi e ricreativi|O
CLASS|77.21.0|Noleggio e leasing operativo di attrezzature e articoli sportivi e ricreativi|O
CLASS|77.21.01|Noleggio e leasing operativo di biciclette|O
CLASS|77.21.02|Noleggio e leasing operativo di imbarcazioni da diporto senza operatore|O
CLASS|77.21.09|Noleggio e leasing operativo di altre attrezzature e articoli sportivi e ricreativi|O
GROUP|77.22|Noleggio e leasing operativo di altri beni per uso personale e per la casa|O
CLASS|77.22.1|Noleggio e leasing operativo di tessili| articoli di abbigliamento e calzature|O
CLASS|77.22.10|Noleggio e leasing operativo di tessili| articoli di abbigliamento e calzature|O
CLASS|77.22.9|Noleggio e leasing operativo di altri beni per uso personale e per la casa n.c.a.|O
CLASS|77.22.90|Noleggio e leasing operativo di altri beni per uso personale e per la casa n.c.a.|O
GROUP|77.3|Noleggio e leasing operativo di altre macchine| attrezzature e beni materiali|O
GROUP|77.31|Noleggio e leasing operativo di macchine e attrezzature agricole|O
CLASS|77.31.0|Noleggio e leasing operativo di macchine e attrezzature agricole|O
CLASS|77.31.00|Noleggio e leasing operativo di macchine e attrezzature agricole|O
GROUP|77.32|Noleggio e leasing operativo di macchine e attrezzature per lavori edili e di ingegneria civile|O
CLASS|77.32.0|Noleggio e leasing operativo di macchine e attrezzature per lavori edili e di ingegneria civile|O
CLASS|77.32.00|Noleggio e leasing operativo di macchine e attrezzature per lavori edili e di ingegneria civile|O
GROUP|77.33|Noleggio e leasing operativo di macchine| attrezzature e computer per ufficio|O
CLASS|77.33.0|Noleggio e leasing operativo di macchine| attrezzature e computer per ufficio|O
CLASS|77.33.00|Noleggio e leasing operativo di macchine| attrezzature e computer per ufficio|O
GROUP|77.34|Noleggio e leasing operativo di mezzi di trasporto marittimi| fluviali e lacustri|O
CLASS|77.34.0|Noleggio e leasing operativo di mezzi di trasporto marittimi| fluviali e lacustri|O
CLASS|77.34.00|Noleggio e leasing operativo di mezzi di trasporto marittimi| fluviali e lacustri|O
GROUP|77.35|Noleggio e leasing operativo di mezzi di trasporto aereo|O
CLASS|77.35.0|Noleggio e leasing operativo di mezzi di trasporto aereo|O
CLASS|77.35.00|Noleggio e leasing operativo di mezzi di trasporto aereo|O
GROUP|77.39|Noleggio e leasing operativo di altre macchine| attrezzature e beni materiali n.c.a.|O
CLASS|77.39.1|Noleggio e leasing operativo di altri mezzi di trasporto terrestre|O
CLASS|77.39.10|Noleggio e leasing operativo di altri mezzi di trasporto terrestre|O
CLASS|77.39.9|Noleggio e leasing operativo di altre macchine| attrezzature e beni materiali n.c.a.| esclusi altri|O
CLASS|77.39.91|Noleggio e leasing operativo di apparecchi di sollevamento e movimentazione merci|O
CLASS|77.39.92|Noleggio e leasing operativo di strutture e attrezzature per manifestazioni e spettacoli|O
CLASS|77.39.99|Noleggio e leasing operativo di altre macchine| attrezzature e beni materiali vari n.c.a.|O
GROUP|77.4|Concessione dei diritti di sfruttamento di proprietà intellettuale| escluse le opere|O
GROUP|77.40|Concessione dei diritti di sfruttamento di proprietà intellettuale| escluse le opere soggette a|O
CLASS|77.40.0|Concessione dei diritti di sfruttamento di proprietà intellettuale| escluse le opere soggette a diritto|O
CLASS|77.40.00|Concessione dei diritti di sfruttamento di proprietà intellettuale| escluse le opere soggette a diritto d'autore|O
GROUP|77.5|Attività di servizi di intermediazione per il noleggio e il leasing operativo di beni|O
GROUP|77.51|Attività di servizi di intermediazione per il noleggio e il leasing operativo di automobili||O
CLASS|77.51.0|Attività di servizi di intermediazione per il noleggio e il leasing operativo di automobili||O
CLASS|77.51.00|Attività di servizi di intermediazione per il noleggio e il leasing operativo di automobili| autocaravan e|O
GROUP|77.52|Attività di servizi di intermediazione per il noleggio e il leasing operativo di altri beni|O
CLASS|77.52.0|Attività di servizi di intermediazione per il noleggio e il leasing operativo di altri beni materiali e|O
CLASS|77.52.00|Attività di servizi di intermediazione per il noleggio e il leasing operativo di altri beni materiali e beni|O
DIVISION|78|Attività di ricerca| selezione| fornitura di risorse umane|O
GROUP|78.1|Attività di agenzie di collocamento|O
GROUP|78.10|Attività di agenzie di collocamento|O
CLASS|78.10.0|Attività di agenzie di collocamento|O
CLASS|78.10.00|Attività di agenzie di collocamento|O
GROUP|78.2|Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane|O
GROUP|78.20|Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane|O
CLASS|78.20.0|Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane|O
CLASS|78.20.00|Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane|O
DIVISION|79|Attività di agenzie di viaggio| tour operator e altri servizi di prenotazione e|O
GROUP|79.1|Attività di agenzie di viaggio e tour operator|O
GROUP|79.11|Attività di agenzie di viaggio|O
CLASS|79.11.0|Attività di agenzie di viaggio|O
CLASS|79.11.00|Attività di agenzie di viaggio|O
GROUP|79.12|Attività di tour operator|O
CLASS|79.12.0|Attività di tour operator|O
CLASS|79.12.00|Attività di tour operator|O
GROUP|79.9|Altri servizi di prenotazione e attività connesse|O
GROUP|79.90|Altri servizi di prenotazione e attività connesse|O
CLASS|79.90.0|Altri servizi di prenotazione e attività connesse|O
CLASS|79.90.01|Servizi di guida turistica|O
CLASS|79.90.02|Servizi di accompagnamento in ambiente naturale|O
CLASS|79.90.03|Altri servizi di accompagnamento turistico|O
CLASS|79.90.04|Altre attività di assistenza turistica|O
DIVISION|80|Attività di investigazione e vigilanza|O
GROUP|80.0|Attività di investigazione e vigilanza|O
GROUP|80.01|Attività di investigazione e vigilanza privata|O
CLASS|80.01.1|Attività di investigazione|O
CLASS|80.01.11|Attività di investigazione in ambito privato|O
CLASS|80.01.12|Attività di investigazione in ambito aziendale e commerciale|O
CLASS|80.01.13|Attività di investigazione in ambito assicurativo|O
CLASS|80.01.14|Attività di investigazione in ambito legale|O
CLASS|80.01.2|Attività di vigilanza privata|O
CLASS|80.01.21|Attività di vigilanza privata non armata|O
CLASS|80.01.29|Altre attività di vigilanza privata|O
GROUP|80.09|Attività di vigilanza n.c.a.|O
CLASS|80.09.0|Attività di vigilanza n.c.a.|O
CLASS|80.09.00|Attività di vigilanza n.c.a.|O
DIVISION|81|Attività di servizi per edifici e per la cura del paesaggio|O
GROUP|81.1|Attività di servizi integrati agli edifici|O
GROUP|81.10|Attività di servizi integrati agli edifici|O
CLASS|81.10.0|Attività di servizi integrati agli edifici|O
CLASS|81.10.00|Attività di servizi integrati agli edifici|O
GROUP|81.2|Attività di pulizia|O
GROUP|81.21|Attività di pulizia generale di edifici|O
CLASS|81.21.0|Attività di pulizia generale di edifici|O
CLASS|81.21.00|Attività di pulizia generale di edifici|O
GROUP|81.22|Altre attività di pulizia di edifici e pulizia industriale|O
CLASS|81.22.0|Altre attività di pulizia di edifici e pulizia industriale|O
CLASS|81.22.01|Attività di sterilizzazione di attrezzature mediche|O
CLASS|81.22.09|Altre attività di pulizia di edifici e pulizia industriale n.c.a.|O
GROUP|81.23|Altre attività di pulizia|O
CLASS|81.23.1|Attività di sanificazione| disinfezione e disinfestazione|O
CLASS|81.23.10|Attività di sanificazione| disinfezione e disinfestazione|O
CLASS|81.23.9|Altre attività di pulizia n.c.a.|O
CLASS|81.23.91|Pulitura delle strade e rimozione di neve e ghiaccio|O
CLASS|81.23.99|Altre attività di pulizia varie n.c.a.|O
GROUP|81.3|Attività di servizi per la cura del paesaggio|O
GROUP|81.30|Attività di servizi per la cura del paesaggio|O
CLASS|81.30.0|Attività di servizi per la cura del paesaggio|O
CLASS|81.30.00|Attività di servizi per la cura del paesaggio|O
DIVISION|82|Attività amministrative| di supporto per le funzioni di ufficio e altri servizi di|O
GROUP|82.1|Attività amministrative e di supporto per le funzioni di ufficio|O
GROUP|82.10|Attività amministrative e di supporto per le funzioni di ufficio|O
CLASS|82.10.0|Attività amministrative e di supporto per le funzioni di ufficio|O
CLASS|82.10.00|Attività amministrative e di supporto per le funzioni di ufficio|O
GROUP|82.2|Attività dei call center|O
GROUP|82.20|Attività dei call center|O
CLASS|82.20.0|Attività dei call center|O
CLASS|82.20.00|Attività dei call center|O
GROUP|82.3|Organizzazione di convegni e fiere|O
GROUP|82.30|Organizzazione di convegni e fiere|O
CLASS|82.30.0|Organizzazione di convegni e fiere|O
CLASS|82.30.01|Organizzazione di conferenze e congressi|O
CLASS|82.30.02|Organizzazione di fiere commerciali e di affari|O
CLASS|82.30.03|Organizzazione di convegni ed eventi aziendali|O
CLASS|82.30.04|Organizzazione di mercati agricoli e fiere dell'artigianato|O
CLASS|82.30.09|Organizzazione di altri eventi|O
GROUP|82.4|Attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.|O
GROUP|82.40|Attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.|O
CLASS|82.40.0|Attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.|O
CLASS|82.40.01|Attività di servizi di prenotazione di biglietti per spettacoli teatrali| sportivi e altri spettacoli di|O
CLASS|82.40.09|Altre attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.|O
GROUP|82.9|Servizi di supporto alle imprese n.c.a.|O
GROUP|82.91|Attività di recupero crediti| di informazioni commerciali e di rating|O
CLASS|82.91.1|Attività di recupero crediti|O
CLASS|82.91.10|Attività di recupero crediti|O
CLASS|82.91.2|Attività di raccolta e fornitura di informazioni commerciali e di rating|O
CLASS|82.91.20|Attività di raccolta e fornitura di informazioni commerciali e di rating|O
GROUP|82.92|Attività di imballaggio|O
CLASS|82.92.1|Attività di imballaggio di generi alimentari|O
CLASS|82.92.10|Attività di imballaggio di generi alimentari|O
CLASS|82.92.2|Attività di imballaggio di generi non alimentari|O
CLASS|82.92.20|Attività di imballaggio di generi non alimentari|O
GROUP|82.99|Altri servizi di supporto alle imprese n.c.a.|O
CLASS|82.99.1|Richiesta certificati e disbrigo pratiche|O
CLASS|82.99.11|Fornitura di assistenza per la registrazione di autoveicoli|O
CLASS|82.99.19|Richiesta certificati e disbrigo pratiche n.c.a.|O
CLASS|82.99.9|Altri servizi vari di supporto alle imprese n.c.a.|O
CLASS|82.99.91|Rilevamento del consumo di calore e acqua calda|O
CLASS|82.99.99|Tutti gli altri servizi vari di supporto alle imprese n.c.a.|O
SECTION|P|AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE
DIVISION|84|Amministrazione pubblica e difesa; assicurazione sociale obbligatoria|P
GROUP|84.1|Amministrazione dello Stato e delle politiche economiche| sociali e ambientali della|P
GROUP|84.11|Attività generali di amministrazione pubblica|P
CLASS|84.11.1|Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali|P
CLASS|84.11.10|Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali|P
CLASS|84.11.2|Servizi di gestione esattoriale per conto terzi|P
CLASS|84.11.20|Servizi di gestione esattoriale per conto terzi|P
CLASS|84.11.3|Attività di pianificazione generale e servizi statistici generali|P
CLASS|84.11.30|Attività di pianificazione generale e servizi statistici generali|P
GROUP|84.12|Regolamentazione dei servizi di assistenza sanitaria| istruzione| servizi culturali e di altri|P
CLASS|84.12.1|Regolamentazione dei servizi di assistenza sanitaria|P
CLASS|84.12.10|Regolamentazione dei servizi di assistenza sanitaria|P
CLASS|84.12.2|Regolamentazione dei servizi di istruzione|P
CLASS|84.12.20|Regolamentazione dei servizi di istruzione|P
CLASS|84.12.3|Regolamentazione dei servizi per l'edilizia abitativa e la tutela dell'ambiente|P
CLASS|84.12.30|Regolamentazione dei servizi per l'edilizia abitativa e la tutela dell'ambiente|P
CLASS|84.12.4|Regolamentazione dei servizi culturali e di altri servizi sociali|P
CLASS|84.12.40|Regolamentazione dei servizi culturali e di altri servizi sociali|P
GROUP|84.13|Regolamentazione delle attività che contribuiscono a una più efficiente gestione delle|P
CLASS|84.13.1|Regolamentazione dei servizi connessi a agricoltura| silvicoltura| caccia e pesca|P
CLASS|84.13.10|Regolamentazione dei servizi connessi a agricoltura| silvicoltura| caccia e pesca|P
CLASS|84.13.2|Regolamentazione dei servizi connessi a combustibili ed energia|P
CLASS|84.13.20|Regolamentazione dei servizi connessi a combustibili ed energia|P
CLASS|84.13.3|Regolamentazione dei servizi connessi a industrie estrattive e risorse minerarie| industrie|P
CLASS|84.13.30|Regolamentazione dei servizi connessi a industrie estrattive e risorse minerarie| industrie manifatturiere e di|P
CLASS|84.13.4|Regolamentazione dei servizi connessi a trasporti e comunicazioni|P
CLASS|84.13.40|Regolamentazione dei servizi connessi a trasporti e comunicazioni|P
CLASS|84.13.5|Regolamentazione dei servizi connessi a commercio| servizi di alloggio e ristorazione|P
CLASS|84.13.50|Regolamentazione dei servizi connessi a commercio| servizi di alloggio e ristorazione|P
CLASS|84.13.6|Regolamentazione dei servizi connessi al turismo|P
CLASS|84.13.60|Regolamentazione dei servizi connessi al turismo|P
CLASS|84.13.9|Regolamentazione di altri servizi|P
CLASS|84.13.90|Regolamentazione di altri servizi|P
GROUP|84.2|Erogazione di servizi collettivi|P
GROUP|84.21|Affari esteri|P
CLASS|84.21.0|Affari esteri|P
CLASS|84.21.00|Affari esteri|P
GROUP|84.22|Difesa nazionale|P
CLASS|84.22.0|Difesa nazionale|P
CLASS|84.22.00|Difesa nazionale|P
GROUP|84.23|Giustizia e attività giudiziarie|P
CLASS|84.23.0|Giustizia e attività giudiziarie|P
CLASS|84.23.00|Giustizia e attività giudiziarie|P
GROUP|84.24|Ordine pubblico e sicurezza nazionale|P
CLASS|84.24.1|Ordine pubblico e sicurezza nazionale delle Forze dell'Ordine|P
CLASS|84.24.10|Ordine pubblico e sicurezza nazionale delle Forze dell'Ordine|P
CLASS|84.24.2|Attività di supporto all'ordine pubblico e alla sicurezza nazionale fornite dalla Protezione Civile|P
CLASS|84.24.20|Attività di supporto all'ordine pubblico e alla sicurezza nazionale fornite dalla Protezione Civile|P
GROUP|84.25|Servizi antincendio|P
CLASS|84.25.0|Servizi antincendio|P
CLASS|84.25.00|Servizi antincendio|P
GROUP|84.3|Assicurazione sociale obbligatoria|P
GROUP|84.30|Assicurazione sociale obbligatoria|P
CLASS|84.30.0|Assicurazione sociale obbligatoria|P
CLASS|84.30.00|Assicurazione sociale obbligatoria|P
SECTION|Q|ISTRUZIONE E FORMAZIONE
DIVISION|85|Istruzione e formazione|Q
GROUP|85.1|Istruzione prescolastica|Q
GROUP|85.10|Istruzione prescolastica|Q
CLASS|85.10.0|Istruzione prescolastica|Q
CLASS|85.10.00|Istruzione prescolastica|Q
GROUP|85.2|Istruzione primaria|Q
GROUP|85.20|Istruzione primaria|Q
CLASS|85.20.0|Istruzione primaria|Q
CLASS|85.20.00|Istruzione primaria|Q
GROUP|85.3|Istruzione secondaria e post-secondaria non terziaria|Q
GROUP|85.31|Istruzione secondaria di formazione generale|Q
CLASS|85.31.1|Istruzione secondaria di formazione generale di primo grado|Q
CLASS|85.31.10|Istruzione secondaria di formazione generale di primo grado|Q
CLASS|85.31.2|Istruzione secondaria di formazione generale di secondo grado|Q
CLASS|85.31.20|Istruzione secondaria di formazione generale di secondo grado|Q
GROUP|85.32|Istruzione secondaria professionale|Q
CLASS|85.32.0|Istruzione secondaria professionale|Q
CLASS|85.32.01|Istruzione secondaria professionale erogata da scuole di vela e navigazione|Q
CLASS|85.32.02|Istruzione secondaria professionale erogata da scuole di volo|Q
CLASS|85.32.03|Istruzione secondaria professionale erogata da scuole di guida|Q
CLASS|85.32.09|Altra istruzione secondaria professionale n.c.a.|Q
GROUP|85.33|Istruzione post-secondaria non terziaria|Q
CLASS|85.33.0|Istruzione post-secondaria non terziaria|Q
CLASS|85.33.00|Istruzione post-secondaria non terziaria|Q
GROUP|85.4|Istruzione terziaria|Q
GROUP|85.40|Istruzione terziaria|Q
CLASS|85.40.1|Istruzione terziaria non universitaria professionale|Q
CLASS|85.40.10|Istruzione terziaria non universitaria professionale|Q
CLASS|85.40.2|Istruzione terziaria universitaria di primo| secondo e terzo ciclo e a ciclo unico|Q
CLASS|85.40.20|Istruzione terziaria universitaria di primo| secondo e terzo ciclo e a ciclo unico|Q
GROUP|85.5|Altri servizi di istruzione e formazione|Q
GROUP|85.51|Formazione sportiva e ricreativa|Q
CLASS|85.51.0|Formazione sportiva e ricreativa|Q
CLASS|85.51.01|Insegnamento di pilates fornito da insegnanti e istruttori indipendenti|Q
CLASS|85.51.09|Formazione sportiva e ricreativa n.c.a.|Q
GROUP|85.52|Formazione culturale|Q
CLASS|85.52.0|Formazione culturale|Q
CLASS|85.52.01|Corsi di danza|Q
CLASS|85.52.02|Attività di educazione al patrimonio culturale|Q
CLASS|85.52.09|Altra formazione culturale|Q
GROUP|85.53|Attività di scuole guida|Q
CLASS|85.53.0|Attività di scuole guida|Q
CLASS|85.53.00|Attività di scuole guida|Q
GROUP|85.59|Altri servizi di istruzione e formazione n.c.a.|Q
CLASS|85.59.1|Corsi di lingua straniera|Q
CLASS|85.59.10|Corsi di lingua straniera|Q
CLASS|85.59.2|Corsi di formazione e corsi di aggiornamento professionale|Q
