type|code|description|section
GROUP|10.6|Lavorazione di granaglie| produzione di amidi e di prodotti amidacei|C
GROUP|10.61|Lavorazione di granaglie|C
CLASS|10.61.1|Lavorazione di frumento e altri cereali|C
CLASS|10.61.11|Lavorazione di frumento|C
CLASS|10.61.19|Lavorazione di altri cereali|C
CLASS|10.61.2|Lavorazione del riso|C
CLASS|10.61.20|Lavorazione del riso|C
CLASS|10.61.9|Lavorazioni di altre granaglie|C
CLASS|10.61.90|Lavorazioni di altre granaglie|C
GROUP|10.62|Produzione di amidi e di prodotti amidacei|C
CLASS|10.62.0|Produzione di amidi e di prodotti amidacei|C
CLASS|10.62.00|Produzione di amidi e di prodotti amidacei|C
GROUP|10.7|Produzione di prodotti da forno e farinacei|C
GROUP|10.71|Produzione di pane; produzione di prodotti di pasticceria freschi|C
CLASS|10.71.1|Produzione di pane e prodotti di panetteria simili|C
CLASS|10.71.10|Produzione di pane e prodotti di panetteria simili|C
CLASS|10.71.2|Produzione di prodotti di pasticceria freschi|C
CLASS|10.71.20|Produzione di prodotti di pasticceria freschi|C
GROUP|10.72|Produzione di fette biscottate| biscotti| prodotti di pasticceria conservati|C
CLASS|10.72.0|Produzione di fette biscottate| biscotti| prodotti di pasticceria conservati|C
CLASS|10.72.00|Produzione di fette biscottate| biscotti| prodotti di pasticceria conservati|C
GROUP|10.73|Produzione di prodotti farinacei|C
CLASS|10.73.0|Produzione di prodotti farinacei|C
CLASS|10.73.01|Produzione di prodotti farinacei freschi|C
CLASS|10.73.02|Produzione di prodotti farinacei conservati|C
GROUP|10.8|Produzione di altri prodotti alimentari|C
GROUP|10.81|Produzione di zucchero|C
CLASS|10.81.0|Produzione di zucchero|C
CLASS|10.81.00|Produzione di zucchero|C
GROUP|10.82|Produzione di cacao| cioccolato| caramelle e confetterie|C
CLASS|10.82.0|Produzione di cacao| cioccolato| caramelle e confetterie|C
CLASS|10.82.00|Produzione di cacao| cioccolato| caramelle e confetterie|C
GROUP|10.83|Lavorazione di tè e caffè|C
CLASS|10.83.0|Lavorazione di tè e caffè|C
CLASS|10.83.01|Lavorazione di tè e di altri preparati per infusi|C
CLASS|10.83.02|Lavorazione di caffè|C
GROUP|10.84|Produzione di condimenti e spezie|C
CLASS|10.84.0|Produzione di condimenti e spezie|C
CLASS|10.84.00|Produzione di condimenti e spezie|C
GROUP|10.85|Produzione di pasti e piatti preparati|C
CLASS|10.85.0|Produzione di pasti e piatti preparati|C
CLASS|10.85.01|Produzione di pasti e piatti preparati a base di carne| inclusi pasti e piatti preparati a base di carne di volatili|C
CLASS|10.85.02|Produzione di pasti e piatti preparati a base di pesce|C
CLASS|10.85.03|Produzione di pasti e piatti preparati a base di ortaggi|C
CLASS|10.85.04|Produzione di pizza surgelata o altrimenti conservata|C
CLASS|10.85.05|Produzione di pasti e piatti preparati a base di pasta|C
CLASS|10.85.09|Produzione di altri pasti e piatti preparati|C
GROUP|10.86|Produzione di preparati omogeneizzati e di alimenti dietetici|C
CLASS|10.86.0|Produzione di preparati omogeneizzati e di alimenti dietetici|C
CLASS|10.86.00|Produzione di preparati omogeneizzati e di alimenti dietetici|C
GROUP|10.89|Produzione di altri prodotti alimentari n.c.a.|C
CLASS|10.89.0|Produzione di altri prodotti alimentari n.c.a.|C
CLASS|10.89.01|Produzione di integratori alimentari|C
CLASS|10.89.09|Produzione di altri prodotti alimentari vari n.c.a.|C
GROUP|10.9|Produzione di prodotti per l'alimentazione degli animali|C
GROUP|10.91|Produzione di mangimi per l'alimentazione degli animali da allevamento|C
CLASS|10.91.0|Produzione di mangimi per l'alimentazione degli animali da allevamento|C
